Brand, Product_name, shipping
ASUS,ASUS TUF Gaming GeForce GTX 1650 TUF-GTX1650-O4GD6-P-GAMING 4GB 128-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card,Free Shipping
MSI,MSI GeForce GTX 1050 Ti DirectX 12 GTX 1050 Ti GAMING X 4G 4GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready ATX Video Card,Free Shipping
ASUS,ASUS GeForce GTX 1050 Ti 4GB PHOENIX Fan Edition DVI-D HDMI DP 1.4 Gaming Graphics Card (PH-GTX1050Ti-4G),Free Shipping
EVGA,EVGA GeForce GTX 1660 Ti SC ULTRA GAMING| 06G-P4-1667-KR| 6GB GDDR6| Dual Fan| Metal Backplate,Free Shipping
EVGA,EVGA GeForce GTX 1650 KO ULTRA GDDR6 GAMING| 04G-P4-1457-KR| 4GB GDDR6| Dual Fan| Metal Backplate,$3.99 Shipping
MSI,MSI GeForce GTX 1650 SUPER DirectX 12 GTX 1650 Super AERO ITX OC 4GB 128-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready ITX Video Card,Free Shipping
GIGABYTE,GIGABYTE GeForce GTX 1050 Ti OC Low Profile 4GB Video Card| GV-N105TOC-4GL,Free Shipping
MSI,MSI GeForce GTX 1660 DirectX 12 GTX 1660 GAMING X 6G 6GB 192-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Video Card,$13.50 Shipping
GIGABYTE,GIGABYTE GeForce GTX 1660 Ti MINI ITX OC 6G Graphics Card| Mini ITX Form Factor| 6GB 192-Bit GDDR6| GV-N166TIXOC-6GD Video Card,Free Shipping
MSI,MSI GeForce GTX 1050 Ti DirectX 12 GTX 1050 Ti 4GT OC 4GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready ATX Video Card,Special Shipping
GIGABYTE,GIGABYTE GeForce GTX 1050 Ti DirectX 12 GV-N105TD5-4GD 4GB 128-Bit GDDR5 PCI Express 3.0 x16 Video Cards,Free Shipping
MSI,MSI GeForce GTX 1660 Ti DirectX 12 GTX 1660 TI VENTUS XS 6G OC 6GB 192-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,Special Shipping
EVGA,EVGA GeForce GTX 1660 SC ULTRA GAMING| 06G-P4-1067-KR| 6GB GDDR5| Dual Fan| Metal Backplate,Free Shipping
MSI,MSI GeForce GTX 1650 SUPER DirectX 12 GTX 1650 Super Ventus XS OC 4GB 128-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,$99.99 Shipping
MSI,MSI GeForce GTX 1650 SUPER DirectX 12 GTX 1650 Super Gaming X 4GB 128-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,Special Shipping
GIGABYTE,GIGABYTE GeForce GTX 1650 DirectX 12 GV-N1656OC-4GD rev. 2.0 4GB 128-Bit GDDR6 PCI Express 3.0 x16 Video Card,Free Shipping
EVGA,EVGA GeForce GTX 1070 Founders Edition| 08G-P4-6170-KR| 8GB GDDR5| LED| DX12 OSD Support (PXOC),Free Shipping
EVGA,EVGA GeForce GTX 1060 SC GAMING| ACX 2.0 (Single Fan)| 06G-P4-6163-KR| 6GB GDDR5| DX12 OSD Support (PXOC)| Only 6.8 Inches,Free Shipping
MSI,MSI GeForce GTX 1650 DirectX 12 GTX 1650 D6 AERO ITX OCV1 4GB 128-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready ITX Video Card,Free Shipping
ASUS,ASUS GeForce GTX 1070 8GB Dual-fan Gaming Graphics Card (DUAL-GTX1070-8G) GPU,Free Shipping
EVGA,EVGA GeForce GTX 1060 6GB SSC GAMING ACX 3.0| 6GB GDDR5| LED| DX12 OSD Support (PXOC)| 06G-P4-6267-KR,Free Shipping
GIGABYTE,GIGABYTE GeForce GTX 1650 DirectX 12 GV-N1656WF2OC-4GD (rev. 2.0) 4GB 128-Bit GDDR6 PCI Express 3.0 x16 ATX Video Card,Free Shipping
MSI,MSI GeForce GTX 1650 DirectX 12 GTX 1650 D6 GAMING X 4GB 128-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,Free Shipping
GIGABYTE,GIGABYTE GeForce GTX 1050 Ti DirectX 12 GV-N105TOC-4GD 4GB 128-Bit GDDR5 PCI Express 3.0 x16 ATX Video Cards,Free Shipping
MSI,MSI GeForce GTX 1050 Ti DirectX 12 GTX 1050 TI 4GT LP 4GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Low Profile Video Card,$3.99 Shipping
EVGA,EVGA GeForce GTX 1070 FTW GAMING ACX 3.0| 08G-P4-6276-KR| 8GB GDDR5| RGB LED| 10CM FAN| 10 Power Phases| Double BIOS| DX12 OSD Support (PXOC),Free Shipping
MSI,MSI GeForce GTX 1060 DirectX 12 GTX 1060 GAMING X 6G 6GB 192-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready ATX Video Card,Free Shipping
EVGA,EVGA GeForce GTX 1080 Ti SC2 GAMING| 11G-P4-6593-KR| 11GB GDDR5X| iCX Technology - 9 Thermal Sensors & RGB LED G/P/M,Free Shipping
EVGA,EVGA GeForce GTX 1650 SC ULTRA GAMING GDDR6| 04G-P4-1257-KR| 4GB GDDR6| Dual Fan| Metal Backplate,$8.50 Shipping
ASUS,ASUS TUF Gaming GeForce GTX 1660 SUPER Overclocked 6GB Edition HDMI DP DVI Gaming Graphics Card (TUF-GTX1660S-O6G-GAMING),Free Shipping
